"MIM"	"OMIM_disease_title"	"phecodes"
"OMIM_118300"	"#118300 CHARCOT-MARIE-TOOTH DISEASE AND DEAFNESS;;CHARCOT-MARIE-TOOTH NEUROPATHY AND DEAFNESS, AUTOSOMAL DOMINANT;;CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1E; CMT1E"	"350.2,350.5,359.1,389.1,687.4,735.21,772.1"
"OMIM_145900"	"#145900 HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS;;DEJERINE-SOTTAS SYNDROME; DSS;;CHARCOT-MARIE-TOOTH DISEASE, TYPE 3; CMT3;;HEREDITARY MOTOR AND SENSORY NEUROPATHY TYPE III; HMSN3;;DEJERINE-SOTTAS NEUROPATHY; DSN"	"334.1,350.2,350.3,350.5,356,357,359.1,378.2,687.4,735.21,737.3,772.1"
"OMIM_162500"	"NEUROPATHY, HEREDITARY, WITH LIABILITY TO PRESSURE PALSIES"	"350.5,352,357,473.3,509,687.4,737.3,772.3"
"OMIM_180800"	"ROUSSY-LEVY HEREDITARY AREFLEXIC DYSTASIA"	"333.1,334.1,350.2,350.5,356,357,359.1,687.4,735.21,737.3,772.1"
"OMIM_615157"	"#615157 MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 2; MC3DN2"	"292.1,292.12,292.2,292.6,295.3,300.1,300.3,312,331,333.1,333.4,333.8,334.1,350.1,350.3,350.5,356,378.2,389,473.4,772.1,772.3"
"OMIM_240500"	"#240500 IMMUNODEFICIENCY, COMMON VARIABLE, 2; CVID2;;ANTIBODY DEFICIENCY DUE TO TACI DEFECT;;HYPOGAMMAGLOBULINEMIA DUE TO TACI DEFICIENCY"	"041,202.2,289.4,320,369.5,381.1,475,480,496.3,497,561.1,573.3,579.2"
"OMIM_135150"	"#135150 BIRT-HOGG-DUBE SYNDROME; BHD;;HORNSTEIN-KNICKENBERG SYNDROME;;FIBROFOLLICULOMAS WITH TRICHODISCOMAS AND ACROCHORDONS"	"145.3,151,189.1,189.11,193,194,214,362.7,496.1,506,586.2"
"OMIM_233710"	"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME B-POSITIVE,TYPE II"	"038.1,041.1,041.4,117.4,289.4,446.4,480,480.1,565,573.3,579.2,686,695.4,939"
"OMIM_270200"	"SJOGREN-LARSSON SYNDROME"	"292.1,292.2,315.3,341,342,345.3,350.1,350.3,362.2,362.3,362.7,364.1,364.4,367.1,368.9,371.9,694.2,701.1,706.8,737.1,737.3,741.2,947"
"OMIM_229050"	"#229050 FOLATE MALABSORPTION, HEREDITARY"	"260.6,281.1,284.1,287.3,292.2,315.3,333.4,334.1,345.3,348.9,350.1,350.3,350.5,356,465,528,528.5,529.1,557,561.1,591,772.1,782.6,789"
"OMIM_615518"	"#615518 IMMUNODEFICIENCY 13; IMD13;;IDIOPATHIC CD4 LYMPHOPENIA; ICL"	"381.1,475,504.1"
"OMIM_162200"	"#162200 NEUROFIBROMATOSIS, TYPE I; NF1;;NEUROFIBROMATOSIS, PERIPHERAL TYPE;;VON RECKLINGHAUSEN DISEASE"	"170.2,191.1,191.11,199.4,215,225.1,227.1,227.2,315.1,315.3,331.1,345.3,365,379.5,401,440.1,694.2,733.8,736.4,737.3"
"OMIM_162210"	"#162210 NEUROFIBROMATOSIS, FAMILIAL SPINAL;;FSNF"	"191.1,199.4,344,379.5,694.2,772.3"
"OMIM_137920"	"#137920 RENAL CYSTS AND DIABETES SYNDROME;;RCAD;;MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 5; MODY5;;HYPERURICEMIC NEPHROPATHY, FAMILIAL JUVENILE, ATYPICAL;;FJHN, ATYPICAL;;GLOMERULOCYSTIC KIDNEY DISEASE, HYPOPLASTIC TYPE;;GLOMERULOCYSTIC KIDNEY, FAMILIAL HYPOPLASTIC"	"244,250.2,250.41,250.5,269,274.1,292.2,331,389,526.3,537,571.5,573.6,577,580,580.12,585.3,586.11,586.2,586.4,594.1,716,728.2"
"OMIM_208250"	"CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME"	"420.22,716,727,736.3,739,741.2"
"OMIM_125595"	"DERMATOPATHIA PIGMENTOSA RETICULARIS"	"528,694.2,704.1,705.8"
"OMIM_601214"	"NAXOS DISEASE"	"386.2,416,425,425.1,427.12,427.42,428.1,701.6,705.8"
"OMIM_611528"	"#611528 ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 12; ARVD12;;ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 12; ARVC12"	"425.1,427.12,788"
"OMIM_613327"	"#613327 LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 4; CGL4;;BERARDINELLI-SEIP CONGENITAL LIPODYSTROPHY, TYPE 4, WITH MUSCULARDYSTROPHY;;LIPODYSTROPHY, BERARDINELLI-SEIP CONGENITAL, TYPE 4, WITH MUSCULARDYSTROPHY"	"250.2,251.1,272.12,277.51,359.1,426.8,427.21,427.8,532,537,560,563,571.5,573.3,573.6,579.2,701.6,704.2,737.2,737.3,739,743,743.1,770,772.3,798"
"OMIM_252920"	"MUCOPOLYSACCHARIDOSIS TYPE IIIB"	"290.1,312,313.1,315.3,327,331,345.3,389,416,425.1,465,561.1,573.3,579.2,704.2,741.2"
"OMIM_615643"	"#615643 NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6; NBIA6"	"292.1,292.4,300.3,331,333.4,334.1,350.1,350.2,350.5,356,772.1"
"OMIM_614491"	"#614491 PSEUDOHYPOALDOSTERONISM, TYPE IIB; PHA2B"	"276.13,401,588"
"OMIM_232200"	"GLYCOGEN STORAGE DISEASE IA"	"155,251.1,269,272.1,274.1,276.41,401,561.1,573.3,573.6,577,580.12,594.1,743.1"
"OMIM_237310"	"N-ACETYLGLUTAMATE SYNTHASE DEFICIENCY"	"292.2,312,345.3,348.7,512.9,789,798"
"OMIM_179800"	"RENAL TUBULAR ACIDOSIS, DISTAL, AUTOSOMAL DOMINANT"	"261.41,275.51,276.14,359.1,588,743.2"
"OMIM_607485"	"#607485 FRONTOTEMPORAL LOBAR DEGENERATION WITH TDP43 INCLUSIONS, GRN-RELATED;;FTLD-TDP, GRN-RELATED;;FRONTOTEMPORAL DEMENTIA WITH TDP43 INCLUSIONS, GRN-RELATED;;FRONTOTEMPORAL LOBAR DEGENERATION WITH UBIQUITIN-POSITIVE INCLUSIONS;FTLDU;;FRONTOTEMPORAL DEMENTIA, UBIQUITIN-POSITIVE; FTDU;;DEMENTIA, HEREDITARY DYSPHASIC DISINHIBITION; HDDDAPHASIA, PRIMARY PROGRESSIVE, INCLUDED; PPA, INCLUDED"	"260.7,290.12,292.1,292.11,292.12,292.3,292.6,300,300.3,331,332,348.9"
"OMIM_614706"	"#614706 CEROID LIPOFUSCINOSIS, NEURONAL, 11; CLN11"	"292.4,334.1,345.11,362.7,367.9,377.1"
"OMIM_273800"	"#273800 GLANZMANN THROMBASTHENIA; GT;;BLEEDING DISORDER, PLATELET-TYPE, 2; BDPLT2;;THROMBASTHENIA OF GLANZMANN AND NAEGELI;;PLATELET GLYCOPROTEIN IIB-IIIA DEFICIENCY;;GP IIB-IIIA COMPLEX, DEFICIENCY OF;;PLATELET FIBRINOGEN RECEPTOR, DEFICIENCY OF;;GLYCOPROTEIN COMPLEX IIB-IIIA, DEFICIENCY OF"	"286.9,430,477,578"
"OMIM_614679"	"#614679 CILIARY DYSKINESIA, PRIMARY, 17; CILD17;;CILIARY DYSKINESIA, PRIMARY, 17, WITH OR WITHOUT SITUS INVERSUS"	"465,472,475,496.3"
"OMIM_203450"	"ALEXANDER DISEASE"	"216,244,250.2,292.1,292.2,300,323,327,331.1,333.1,333.3,334.1,334.2,341,342,345.3,348.9,350.1,350.2,350.3,350.5,352.2,368.2,374.3,378.2,401,427.42,458,509,513.31,513.8,563,705.8,737.1,737.2,737.3,743.1,772.2,780,789"
"OMIM_145001"	"HYPERPARATHYROIDISM 2"	"157,189.11,194,226,227.2,252.1,275.6,577.2,586.2,594.1"
"OMIM_260540"	"#260540 PARKINSON-DEMENTIA SYNDROMESUPRANUCLEAR PALSY, PROGRESSIVE, 1, ATYPICAL, INCLUDED;;STEELE-RICHARDSON-OLSZEWSKI SYNDROME, ATYPICAL, INCLUDED"	"290.1,332,333.1,378.5,737.3"
"OMIM_601104"	"#601104 SUPRANUCLEAR PALSY, PROGRESSIVE, 1; PSNP1;;PSP;;STEELE-RICHARDSON-OLSZEWSKI SYNDROME"	"290.1,290.12,292.1,292.11,292.3,331,332,333,333.1,350.1,350.2,368,368.2,368.9,374,378,532,723.1"
"OMIM_614018"	"#614018 EPILEPSY, PROGRESSIVE MYOCLONIC 6; EPM6"	"333.1,333.2,334.1,345.3,350.5,737.3,741.3"
"OMIM_173470"	"+173470 INTEGRIN, BETA-3; ITGB3;;PLATELET GLYCOPROTEIN IIIA; GP3A;;GP IIIA;;PLATELET FIBRINOGEN RECEPTOR, BETA SUBUNIT;;CD61THROMBOCYTOPENIA, NEONATAL ALLOIMMUNE, INCLUDED; NAIT, INCLUDED;;POSTTRANSFUSION PURPURA, INCLUDED; PTP, INCLUDED"	"286,287.32,430,477,578"
"OMIM_609814"	"COMPLEMENT FACTOR H DEFICIENCY"	"041,580.11,585.3,593"
"OMIM_614748"	"#614748 INTERSTITIAL LUNG DISEASE, NEPHROTIC SYNDROME, AND EPIDERMOLYSIS BULLOSA,CONGENITAL"	"465,504.1,512.9,580,580.12"
"OMIM_608099"	"#608099 MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2D; LGMD2D;;DUCHENNE-LIKE AUTOSOMAL RECESSIVE MUSCULAR DYSTROPHY, TYPE 2; DMDA2;;ADHALINOPATHY, PRIMARY"	"350.2,359.1,425,737.3,739,772.1"
"OMIM_130000"	"EHLERS-DANLOS SYNDROME, TYPE I"	"172,361,367.1,395.1,401,442.1,447.7,456,524.3,550.1,550.4,562.1,567,591,596,701.2,728.2,735.1,735.3,736.5,737.3,740,742.2,875"
"OMIM_166200"	"OSTEOGENESIS IMPERFECTA, TYPE I"	"383,389,395.1,447.7,728.2,743,743.2,809"
"OMIM_614809"	"#614809 CFHR5 DEFICIENCY"	"580.1,585.3,593"
"OMIM_615008"	"#615008 NEPHROTIC SYNDROME, TYPE 7; NPHS7;;NEPHROTIC SYNDROME, TYPE 7, WITH MEMBRANOPROLIFERATIVE GLOMERULONEPHRITISHEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 7, INCLUDED;AHUS7, INCLUDED;;AHUS, SUSCEPTIBILITY TO, 7, INCLUDED"	"269,283,283.21,287.3,580,585.1,585.3"
"OMIM_615990"	"#615990 BARDET-BIEDL SYNDROME 13; BBS13"	"278.1,315.3,362.7"
"OMIM_616263"	"#616263 NEUROLOGIC, ENDOCRINE, AND PANCREATIC DISEASE, MULTISYSTEM, INFANTILE-ONSET;IMNEPD"	"244,315.3,334.1,350.3,359.1,378.1,389.1,557,571,573.3,577,830"
"OMIM_172870"	"PIGMENTED PARAVENOUS CHORIORETINAL ATROPHY"	"362.7,363.4,367.8,378.1"
"OMIM_612692"	"#612692 AGAMMAGLOBULINEMIA 6, AUTOSOMAL RECESSIVE; AGM6;;AGAMMAGLOBULINEMIA, AUTOSOMAL RECESSIVE, DUE TO CD79B DEFECT"	"041,369.5,381.1,475,480,497,561.1"
"OMIM_170500"	"HYPERKALEMIC PERIODIC PARALYSIS"	"276.12,276.13,276.14,343,350.1,350.2,350.5,359.1,359.2,378.5,418,427,428.1,509,687.4,739,770,772.1,772.2,772.3,783"
"OMIM_608390"	"MYOTONIA, POTASSIUM-AGGRAVATED"	"244,276.13,292.2,350.2,359.1,359.2,378.5,418,479,495,509,526.3,687.4,737.2,739,741.2,770,772.1,772.2,772.3,782.3"
"OMIM_613345"	"HYPOKALEMIC PERIODIC PARALYSIS, TYPE 2; HOKPP2"	"276.14,359.1,359.2,772.3"
"OMIM_610131"	"#610131 PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS,AUTOSOMAL DOMINANT, 4; PEOA4;;PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA, AUTOSOMAL DOMINANT, 4"	"250.41,334.1,345.3,350.3,352.2,374.3,377,378,427,530.11,563,573.6,770,772.1,772.3,798"
"OMIM_608971"	"#608971 SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE,B CELL-POSITIVE, NK CELL-POSITIVE;;SCID, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-POSITIVE"	"289.4,381.1,561.1,573.3,579.2,939"
"OMIM_612287"	"NEPHROLITHIASIS/OSTEOPOROSIS, HYPOPHOSPHATEMIC, 2"	"275.53,588,594.1,743,743.1,809"
"OMIM_606943"	"USHER SYNDROME, TYPE IG"	"362.7,386,389.1"
"OMIM_613710"	"#613710 THIAMINE METABOLISM DYSFUNCTION SYNDROME 4 (BILATERAL STRIATAL DEGENERATIONAND PROGRESSIVE POLYNEUROPATHY TYPE); THMD4;;BILATERAL STRIATAL DEGENERATION AND PROGRESSIVE POLYNEUROPATHY;;STRIATAL NECROSIS, BILATERAL, AND PROGRESSIVE POLYNEUROPATHY"	"344,350.5,356,739,741.3,772.1,772.3,798"
"OMIM_148500"	"#148500 TYLOSIS WITH ESOPHAGEAL CANCER; TOC;;KERATOSIS PALMARIS ET PLANTARIS WITH ESOPHAGEAL CANCER"	"150,260,473.3,572,573.3,578,701.1,789"
"OMIM_170400"	"#170400 HYPOKALEMIC PERIODIC PARALYSIS, TYPE 1; HOKPP1;;HYPOKALEMIC PERIODIC PARALYSIS; HOKPP"	"276.14,359.1,359.2,772.3"
"OMIM_232300"	"GLYCOGEN STORAGE DISEASE II"	"250.2,292.1,292.2,345.3,350.2,350.3,350.5,359.2,389,416,425.1,426.4,426.8,427,433.5,465,496.1,512.7,513.8,573.3,579.2,772.3,783"
"OMIM_252900"	"MUCOPOLYSACCHARIDOSIS TYPE IIIA"	"313.1,315.3,327,331,345.3,389,425.1,465,561.1,573.3,579.2,704.2,741.2"
"OMIM_601494"	"#601494 CARDIOMYOPATHY, DILATED, 1D; CMD1D;;LEFT VENTRICULAR NONCOMPACTION 6, INCLUDED; LVNC6, INCLUDED"	"416,425,427.21,428.1"
"OMIM_615960"	"PORETTI-BOLTSHAUSER SYNDROME; PTBHS"	"348.4,348.9,350.3,362,362.7,367.1,368.1,377.1,378,378.2"
"OMIM_610246"	"#610246 SPINOCEREBELLAR ATAXIA 28; SCA28"	"292.1,332,333.4,334.1,350.1,350.5,374.3,378.2,378.5"
"OMIM_614487"	"#614487 SPASTIC ATAXIA 5, AUTOSOMAL RECESSIVE; SPAX5"	"292.1,333.2,333.4,334.1,345.1,345.11,350.3,356,374.3,532,772.1,772.3"
"OMIM_202200"	"#202200 GLUCOCORTICOID DEFICIENCY 1; GCCD1;;FAMILIAL GLUCOCORTICOID DEFICIENCY 1; FGD1;;ADRENAL UNRESPONSIVENESS TO ACTH;;ACTH RESISTANCE"	"251.1,253.1,345.3,348.7,694.2"
"OMIM_257220"	"NIEMANN-PICK DISEASE, TYPE C1"	"290.1,290.12,292.1,295.3,315.3,331,333.4,334.1,345.3,347,350.1,350.3,378,532,573.3,579.2"
"OMIM_610476"	"#610476 ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 11; ARVD11;;ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 11; ARVC11ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 11, WITH MILDPALMOPLANTAR KERATODERMA AND WOOLLY HAIR, INCLUDED"	"425.1,427,427.42,427.9,512.7,788"
"OMIM_615508"	"#615508 ERYTHRODERMA, CONGENITAL, WITH PALMOPLANTAR KERATODERMA, HYPOTRICHOSIS,AND HYPER-IGE; EPKHE;;SEVERE DERMATITIS, MULTIPLE ALLERGIES, AND METABOLIC WASTING SYNDROME;;SAM SYNDROME"	"276.11,465,686,695.2,695.9,704.1"
"OMIM_607903"	"#607903 HYPOTRICHOSIS 6; HYPT6;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE 1; LAH1;;HYPOTRICHOSIS, LOCALIZED, AUTOSOMAL RECESSIVE; LAH;;HTL"	"695,698,701.1,704.1"
"OMIM_610193"	"#610193 ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 10; ARVD10;;ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY 10; ARVC10"	"425.1,427.12,427.42,427.6,427.9"
"OMIM_105210"	"#105210 AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED;;HEREDITARY AMYLOIDOSIS, TRANSTHYRETIN-RELATED;;TRANSTHYRETIN AMYLOIDOSIS;;AMYLOID POLYNEUROPATHY, FAMILIAL; FAPAMYLOIDOSIS, LEPTOMENINGEAL, TRANSTHYRETIN-RELATED, INCLUDED;;AMYLOID CARDIOMYOPATHY, TRANSTHYRETIN-RELATED, INCLUDED"	"270.33,290.1,292.1,333.1,334.1,337,339,342,344,345.3,350.1,350.5,356,367.9,378.2,389,416,425,458.1,561.1,563,599.4,772.3"
"OMIM_115430"	"CARPAL TUNNEL SYNDROME"	"261.2,351,356"
"OMIM_616260"	"#616260 TENORIO SYNDROME; TNORS;;OVERGROWTH, MACROCEPHALY, AND INTELLECTUAL DISABILITY SYNDROME"	"251.1,300.1,315.3,331,331.1,343,345.3,348.9,350.2,350.3,370.31,374,480,513.31,526.3,530.11,704.2,737.3,743,788"
"OMIM_604169"	"#604169 LEFT VENTRICULAR NONCOMPACTION 1; LVNC1;;LEFT VENTRICULAR NONCOMPACTION WITH OR WITHOUT CONGENITAL HEART DEFECTS"	"394.2,416,427,427.21,427.42,428.1"
"OMIM_615228"	"#615228 MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 4;MC5DN4;;MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, ATP5A1 TYPE"	"348.8,378.2,513.31"
"OMIM_616045"	"#616045 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 22; COXPD22"	"345.3,348.8,350.3,415.21,428.1,637"
"OMIM_251850"	"DIARRHEA 2, WITH MICROVILLOUS ATROPHY"	"260,276.5,557,561.1,569"
"OMIM_174900"	"#174900 JUVENILE POLYPOSIS SYNDROME; JPS;;POLYPOSIS, JUVENILE INTESTINAL; PJI;;JUVENILE INTESTINAL POLYPOSIS; JIP;;POLYPOSIS, FAMILIAL, OF ENTIRE GASTROINTESTINAL TRACTJUVENILE POLYPOSIS OF STOMACH, INCLUDED;;JUVENILE POLYPOSIS COLI, INCLUDED"	"153.2,159.2,211,276.14,285,560.4,561.1,565,578.2,785"
"OMIM_175050"	"#175050 JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME;JPHT;;JP/HHT SYNDROME;;JUVENILE POLYPOSIS WITH HEREDITARY HEMORRHAGIC TELANGIECTASIA;;JPS/HHT;;TELANGIECTASIA, HEREDITARY HEMORRHAGIC, WITH JUVENILE POLYPOSIS COLI;;POLYPOSIS, GENERALIZED JUVENILE, WITH PULMONARY ARTERIOVENOUS MALFORMATION"	"159,285,394.2,395.1,433.21,447.7,448,477,578.2"
"OMIM_177000"	"PROTOPORPHYRIA, ERYTHROPOIETIC"	"272.12,283,573,574.1,695,698,782.3,939"
"OMIM_211600"	"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC 1"	"277.4,557,561.1,571.51,573.3,573.5,575.2,579.2,698"
"OMIM_243300"	"CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC 1"	"277.4,571.6,573.3,573.5,575.2,577,698"
"OMIM_615468"	"#615468 IMMUNODEFICIENCY 12; IMD12"	"041,079,743.1"
"OMIM_602080"	"#602080 PAGET DISEASE OF BONE; PDB"	"344,348.2,352,389.2,800,805,809"
"OMIM_162800"	"CYCLIC HEMATOPOIESIS"	"285,287.3,289.4,465,521.1,523.3,707,783,785,994.2"
"OMIM_175200"	"#175200 PEUTZ-JEGHERS SYNDROME; PJS;;POLYPOSIS, HAMARTOMATOUS INTESTINAL;;POLYPS-AND-SPOTS SYNDROME"	"150,151,153.2,153.3,157,159,159.2,159.3,165.1,174,189.1,211,216,280,441.1,471,560,560.4,565,578,578.9,612.2,694.2,785,789"
"OMIM_612736"	"GUANIDINOACETATE METHYLTRANSFERASE DEFICIENCY"	"315.3,333,333.2,334.1,345.3,350.5,772.2"
"OMIM_615286"	"#615286 MENTAL RETARDATION, AUTOSOMAL RECESSIVE 36; MRT36"	"315.3,350.3,378.1"
"OMIM_613779"	"#613779 COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE; C3D;;C3 DEFICIENCY, AUTOSOMAL RECESSIVE"	"041,580,580.11,585.2"
"OMIM_215470"	"#215470 BOUCHER-NEUHAUSER SYNDROME; BNHS;;SPINOCEREBELLAR ATAXIA, HYPOGONADOTROPIC HYPOGONADISM, AND CHORIORETINALDYSTROPHY"	"333.1,334.1,350.1,350.3,350.5,362.7,363.4,367.9,368.9,772.1"
"OMIM_612020"	"#612020 SPASTIC PARAPLEGIA 39, AUTOSOMAL RECESSIVE; SPG39;;NTE-RELATED MOTOR NEURON DISORDER; NTEMND"	"334.1,334.2,350.2,350.5,359.1,772.1"
"OMIM_604121"	"#604121 CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT; ADCADN"	"290.1,292.3,295.3,327.1,334.1,347,350.1,350.5,377.1,389.1"
"OMIM_614116"	"#614116 NEUROPATHY, HEREDITARY SENSORY, TYPE IE; HSN1E;;HSN IE;;NEUROPATHY, HEREDITARY SENSORY, WITH HEARING LOSS AND DEMENTIA"	"290.1,291.8,292.3,312.3,331,350.5,356,357,389.1,710.1"
"OMIM_611521"	"#611521 IMMUNODEFICIENCY 35; IMD35;;TYROSINE KINASE 2 DEFICIENCY;;TYK2 DEFICIENCY;;HYPER-IGE SYNDROME WITH ATYPICAL MYCOBACTERIOSIS, AUTOSOMAL RECESSIVE;;HIES WITH ATYPICAL MYCOBACTERIOSIS, AUTOSOMAL RECESSIVE"	"031,079,117,465"
"OMIM_160150"	"MYOPATHY, CENTRONUCLEAR, AUTOSOMAL DOMINANT"	"350.5,352.2,374.3,378.5,739,772.3,798"
"OMIM_606482"	"#606482 CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B; CMTDIB;;CHARCOT-MARIE-TOOTH NEUROPATHY, DOMINANT INTERMEDIATE B;;DI-CMTB;;CMTDI1CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2M, INCLUDED; CMT2M, INCLUDED;;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2M,INCLUDED;;CHARCOT-MARIE-TOOTH NEUROPATHY, AXONAL, TYPE 2M, INCLUDED;;CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA,INCLUDED;;CHARCOT-MARIE-TOOTH NEUROPATHY, DOMINANT INTERMEDIATE B, WITH NEUTROPENIA,INCLUDED"	"350.5,356,357,359.1,687.4,772.1"
"OMIM_143890"	"#143890 HYPERCHOLESTEROLEMIA, FAMILIAL;;FHC; FH;;HYPERLIPOPROTEINEMIA, TYPE II;;HYPERLIPOPROTEINEMIA, TYPE IIA;;HYPER-LOW-DENSITY-LIPOPROTEINEMIA;;HYPERCHOLESTEROLEMIC XANTHOMATOSIS, FAMILIAL;;LDL RECEPTOR DISORDERLOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS2, INCLUDED; LDLCQ2, INCLUDED"	"272.11,364.4,374"
"OMIM_616037"	"#616037 CILIARY DYSKINESIA, PRIMARY, 30; CILD30;;CILIARY DYSKINESIA, PRIMARY, 30, WITH OR WITHOUT SITUS INVERSUS"	"381.1,471,495,496.2,496.3,509,512.8"
"OMIM_174050"	"POLYCYSTIC LIVER DISEASE"	"277.4,442,509,572,573.3,578,579,586.2,760,785"
"OMIM_607944"	"#607944 SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION; SPENCDI;;COMBINED IMMUNODEFICIENCY WITH AUTOIMMUNITY AND SPONDYLOMETAPHYSEALDYSPLASIA"	"244,287.31,289.4,381.1,465,475,480,510,580.4,694,694.1,694.2,714.1"
"OMIM_610333"	"#610333 AICARDI-GOUTIERES SYNDROME 4; AGS4"	"284.1,287.3,331,331.1,333.4,334.1,348.9,350.1,571.5,573.3,573.6,579.2,637"
"OMIM_231670"	"#231670 GLUTARIC ACIDEMIA I;;GLUTARIC ACIDURIA I;;GA I;;GLUTARYL-COA DEHYDROGENASE DEFICIENCY"	"250.5,251.1,276.41,291.8,292.1,292.2,323,333.3,333.4,340,342,344,345.3,348.9,350.1,350.2,350.3,357,378,386.2,430,433.3,573.3,772.2,783,789"
"OMIM_108500"	"EPISODIC ATAXIA, TYPE 2"	"292.1,333.4,334.1,340,359.1,368.2,378.2,386,386.2,389.4,687.4,772.3"
"OMIM_141500"	"#141500 MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1;;FHM;;MHP1MIGRAINE, FAMILIAL HEMIPLEGIC 1, WITH PROGRESSIVE CEREBELLAR ATAXIA,INCLUDED;;MIGRAINE, SPORADIC HEMIPLEGIC, INCLUDED"	"291.8,292.1,292.6,295.3,300,300.1,315.1,333.1,334.1,340.1,342,345.3,348.7,368,378.2,783"
"OMIM_183086"	"#183086 SPINOCEREBELLAR ATAXIA 6; SCA6"	"292.1,334.1,340,356,378.2,532"
"OMIM_615830"	"#615830 PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 4; PPNAD4;;CUSHING SYNDROME, ADRENAL, DUE TO PPNAD4;;CHROMOSOME 19P13 DUPLICATION SYNDROMEACTH-INDEPENDENT ADRENAL CUSHING SYNDROME, SOMATIC, INCLUDED"	"250.2,255.11,255.3,278,401,704.1,704.2,706.1,743,743.1,772.3"
"OMIM_125310"	"#125310 CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTSAND LEUKOENCEPHALOPATHY; CADASIL;;DEMENTIA, HEREDITARY MULTI-INFARCT TYPE;;CASIL"	"251.1,290.1,291.8,292.1,292.3,324,331,334.2,340,342,345.3,350.2,352,356,362.4,367.9,377.3,389,401,430,433.21,433.3,440,454,456,465,599.4,772.2"
"OMIM_616198"	"#616198 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 23; COXPD23"	"276.41,345.3,350.3,367.9,425,427,637"
"OMIM_600802"	"#600802 SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE,B CELL-POSITIVE, NK CELL-NEGATIVE;;SCID, T CELL-NEGATIVE, B CELL-POSITIVE, NK CELL-NEGATIVE"	"320,465,480,560,561.1"
"OMIM_274400"	"THYROID HORMONOGENESIS, GENETIC DEFECT IN, 1"	"240,244,315.3,550.4,563,706.8,798"
"OMIM_616230"	"#616230 EPILEPSY, PROGRESSIVE MYOCLONIC, 8; EPM8"	"290.1,315.3,345.1"
